Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2010-01-04,25.095943450927734,25.151658907465446,24.650216762361385,24.976551451909977,12199500
2010-01-05,25.05614471435547,25.44615441428145,24.896957918254483,25.255129348080906,11180700
2010-01-06,25.302894592285156,25.517798427639438,25.000437005164446,25.151665798724803,9761100
2010-01-07,26.273942947387695,26.305781233538806,25.143711115417965,25.143711115417965,11789800
2010-01-08,26.02719497680664,26.202299418608234,25.74065657133942,26.15454504187373,7228700
2010-01-11,26.202302932739258,26.369452382522475,26.027198467453466,26.035156519221495,7206900
2010-01-12,25.50983238220215,26.194340087066355,25.103905018482507,26.027193704138554,13121500
2010-01-13,25.899845123291016,25.907803174056752,25.215337379364907,25.462077942681223,8797200
2010-01-14,26.520679473876953,26.5286405618557,25.73270179484555,26.011279148792926,8818300
2010-01-15,26.862924575805664,27.05395115318997,26.34556333243252,26.695778218259672,19382000
2010-01-19,27.961328506469727,28.574201694486888,27.45988625513472,27.507643672112202,26477900
2010-01-20,27.499677658081055,28.709504678389635,27.292734960781782,28.606031811607618,26854700
2010-01-21,26.345561981201172,28.407042727330925,26.26596934919418,28.200100062354167,29192700
2010-01-22,26.393320083618164,27.149462252837726,26.34556268138615,26.918639363112867,21021600
2010-01-25,26.265975952148438,26.83905276270922,26.23413767683616,26.711702697725162,10925800
2010-01-26,25.820255279541016,26.194347511784795,25.820255279541016,25.875970756309354,11057200
2010-01-27,26.45699691772461,26.687816773783183,25.557585567949694,25.7406510575031,14387100
2010-01-28,26.608232498168945,27.133551948614134,26.297816873305703,26.52863983814542,16742100
2010-01-29,26.265975952148438,26.902726277068723,26.23413767683616,26.600268734132193,11931500
2010-02-01,26.369443893432617,26.59230570637727,25.645139965098,26.28984822004918,13710200
2010-02-02,27.101707458496094,27.157422914995873,26.210257118234956,26.377403487734295,12114600
2010-02-03,26.520679473876953,27.101714409442508,26.122710090371875,27.101714409442508,8410400
2010-02-04,25.836164474487305,26.45699860502797,25.780449019168405,26.45699860502797,10648500
2010-02-05,25.899845123291016,25.971479725242936,25.3426874454722,25.80433029651174,12666000
2010-02-08,25.796377182006836,26.22618487596413,25.65310795068774,25.65310795068774,9558200
2010-02-09,26.265975952148438,26.31373336511685,25.470037286931817,26.043114097492598,11236500
2010-02-10,26.03515625,26.40128735285251,25.708821478107037,26.265979220336966,10755200
2010-02-11,26.361494064331055,26.425170630227722,25.82025539927248,26.03515925477507,7857600
2010-02-12,25.61330795288086,26.14658543163534,25.493915931771383,26.09086996478831,11688700
2010-02-16,25.175539016723633,25.947598966375534,24.98451392149427,25.732698201207825,13934200
2010-02-17,25.907806396484375,26.433125864049632,25.215340515663232,25.215340515663232,11690900
2010-02-18,26.01923179626465,26.258015805784172,25.56554703620124,25.653100768189763,10327100
2010-02-19,25.42228126525879,26.082910293367263,25.334727526719377,25.804329940172313,11508200
2010-02-22,26.32965087890625,26.361486115990054,25.374522414167796,25.557589449657776,16338800
2010-02-23,26.1147518157959,26.401287219011298,25.756578766444882,26.16250619819909,10746500
2010-02-24,26.759456634521484,26.791294909310363,25.756575268791845,26.170463732252255,10982600
2010-02-25,26.624147415161133,27.045993911663736,26.13862437172575,26.520674544527804,14779500
2010-02-26,26.950483322143555,27.300695237002802,26.55251399496781,26.67986405821345,9684700
2010-03-01,27.0937557220459,27.6349943138153,26.68782526008616,27.061917443408788,10970800
2010-03-02,27.022111892700195,27.356404595525657,26.751492689156777,27.14946192752861,7081500
2010-03-03,27.141508102416992,27.34049277482845,26.87884991369174,27.10171177518773,8089700
2010-03-04,26.226177215576172,27.141504774684435,25.804327697125196,27.10170845233447,17386600
2010-03-05,26.85497283935547,26.894769166754777,26.23413859411866,26.289854059730725,8133300
2010-03-08,26.345561981201172,26.93455778135151,26.289846531543418,26.854965149344515,7734800
2010-03-09,26.32965087890625,26.62414731671928,26.32168979243665,26.40924352601306,8770800
2010-03-10,26.45699691772461,26.703735908039704,26.21821294014117,26.28188947716726,7419000
2010-03-11,26.663930892944336,26.71168828013578,26.21820438794775,26.337596337794658,14678000
2010-03-12,26.194337844848633,26.854968305963602,26.09086498206558,26.807210899387275,9450400
2010-03-15,25.89188003540039,26.090864672712144,25.414318120358033,26.090864672712144,13520100
2010-03-16,26.305768966674805,26.353526373631315,25.541668672958636,25.58942607991515,12932100
2010-03-17,26.066987991333008,26.393322681376972,25.676976758712335,26.393322681376972,10614400
2010-03-18,26.735576629638672,26.815169271959796,25.45411504892168,25.8361651973395,15407200
2010-03-19,27.372333526611328,27.619075635771804,26.839056013727447,27.372333526611328,21827600
2010-03-22,26.504749298095703,27.985195274106626,26.43311471744149,27.43599884660045,20218800
2010-03-23,26.393320083618164,26.632101022249508,26.23413177910915,26.552508388127183,11409500
2010-03-24,26.043106079101562,26.53658704944419,26.043106079101562,26.37739875816021,10825800
2010-03-25,26.361494064331055,26.472925018384444,25.94760549480004,26.0749555903276,14786200
2010-03-26,25.971479415893555,26.480879674255206,25.947599191350637,26.345568522728808,8751000
2010-03-29,26.138628005981445,26.28189722023515,25.883927855367144,25.99535879172774,7967200
2010-03-30,26.31373405456543,26.496799588009964,25.947599951411235,26.098830244974422,7253100
2010-03-31,26.003311157226562,26.353526064942777,25.86800306016503,26.18637969694984,6961600
2010-04-01,26.282155990600586,26.282155990600586,25.90771995635343,26.130786680216662,6713400
2010-04-05,26.401653289794922,26.465388372623995,26.106886129350517,26.385719519087655,6722000
2010-04-06,26.61675453186035,27.086790129193897,26.489287405755796,26.505221176400866,9430900
2010-04-07,26.23434829711914,26.712349171761065,26.08298206259547,26.712349171761065,8395900
2010-04-08,25.987380981445312,26.258248970052588,25.652780957371657,26.162649397325204,11174600
2010-04-09,25.70057487487793,26.059077010755537,25.182741157770376,26.01924411544805,12831400
2010-04-12,25.70057487487793,25.796177470482032,25.501407359285384,25.636842850196974,8763300
2010-04-13,25.620920181274414,26.035189157822973,25.358019007604792,25.84398692285578,11119100
