Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2010-01-04,41.32487869262695,41.52294009404089,41.1523743872854,41.344045296051824,9506200
2010-01-05,40.845699310302734,41.286550743284394,40.77541850578339,41.26099364395751,10673100
2010-01-06,41.17793655395508,41.23544125263565,40.78181365545733,40.82653736575607,13171500
2010-01-07,40.884037017822266,41.11404361156768,40.7243087948756,41.05015329729272,10901600
2010-01-08,41.024600982666016,41.05654858078981,40.65403272957356,40.83931563749002,7898000
2010-01-11,41.03099060058594,41.369613685579615,40.896819465466876,41.369613685579615,7975700
2010-01-12,41.248226165771484,41.35045459655866,40.90321252364456,40.97349335118078,10820700
2010-01-13,41.51017379760742,41.67629252409495,41.235441043020636,41.235441043020636,13023800
2010-01-14,41.59323501586914,41.701849055177,41.369616442435515,41.657125340490275,7899000
2010-01-15,41.248226165771484,41.65713013988045,40.8776578532077,41.6187969155952,20995000
2010-01-19,41.75297164916992,42.00853787349448,40.96072074083206,40.97988735461535,15181800
2010-01-20,41.625179290771484,42.13630672143533,41.19071829372181,41.82963123794081,13033000
2010-01-21,40.87125778198242,41.82962710358769,40.762641324825694,41.57406097625593,14473900
2010-01-22,40.379295349121094,41.01182018596221,40.30901454088772,40.83292291847927,14017200
2010-01-25,40.39208221435547,40.698760173838224,40.283465732746706,40.67959112575446,10001700
2010-01-26,40.117340087890625,40.25789926334062,39.753159943379714,40.02150218154177,15630300
2010-01-27,40.532623291015625,40.7115205152992,40.059829228947365,40.110940980700754,14982400
2010-01-28,40.762638092041016,40.935144848719986,40.277065413331314,40.6156884335202,17096000
2010-01-29,40.16205978393555,41.06292431481626,40.13650268649325,40.85847484705479,17844400
2010-02-01,40.30901336669922,40.41762738552563,40.10456144175371,40.41762738552563,10153400
2010-02-02,40.884037017822266,41.018205702895976,40.01511509503093,40.379295248368585,13609300
2010-02-03,40.654022216796875,40.80735992419728,40.43679176693053,40.80735992419728,9255900
2010-02-04,40.02151107788086,40.64764554336763,40.0087325250432,40.56458860581247,18397000
2010-02-05,40.02151107788086,40.63486699052997,39.54232631413753,40.05345624134513,16775200
2010-02-08,39.8490104675293,40.23874785927826,39.778729634622415,39.93206985526107,10081200
2010-02-09,40.09817123413086,40.55180123076961,39.91288835144321,39.96400011441453,11356400
2010-02-10,40.07900619506836,40.296236680025075,39.74677119235461,40.11734184674048,10115800
2010-02-11,40.194026947021484,40.38570040827955,39.77873241657878,40.00874154499257,8353600
2010-02-12,40.072635650634766,40.25153056209855,39.68289821872263,40.002354810485315,12335800
2010-02-16,40.64124298095703,40.7051332850835,40.13650129167774,40.41123398648754,10212400
2010-02-17,40.877662658691406,41.12045033583264,40.64126547785559,40.654044033206205,9485500
2010-02-18,41.22904968261719,41.33766370843441,40.85848145877443,40.877648066328206,8260600
2010-02-19,41.08098220825195,41.499451787217275,40.958658328813804,41.29987485703213,14222300
2010-02-22,40.87496566772461,41.2676825903995,40.81058403259968,41.08098198830786,9839700
2010-02-23,40.75908279418945,41.10673381399564,40.707577484050255,40.920033204511924,12481400
2010-02-24,40.84920120239258,41.10672030070753,40.720440425281325,40.91358036299442,8519300
2010-02-25,40.73976135253906,40.78482726462663,40.25047325448488,40.42429996792608,10528900
2010-02-26,40.55949401855469,40.939336997282226,40.55949401855469,40.8556421156215,9357800
2010-03-01,40.810569763183594,40.85563566405962,40.668932671340414,40.733314283954314,9219400
2010-03-02,40.842769622802734,40.971530424535814,40.572374149480474,40.759077189198045,9014000
2010-03-03,40.817020416259766,41.04234998282183,40.70113593748268,40.939341830120874,9360400
2010-03-04,40.926456451416016,41.01015132444413,40.79769567504373,40.90070380496005,8067200
2010-03-05,41.22905731201172,41.2483705751791,40.91359343013049,40.98441200295536,10633600
2010-03-08,41.33205795288086,41.4672606021123,41.21617347626539,41.25480490968126,33380500
2010-03-09,41.377132415771484,41.557401014726494,41.26124791520895,41.557401014726494,8827100
2010-03-10,41.3900146484375,41.56383895785431,41.29988279735953,41.51877303231532,8436600
2010-03-11,41.344932556152344,41.344932556152344,40.94577386330263,41.29986664823508,9957800
2010-03-12,41.31918716430664,41.3706924714914,41.10673145603185,41.3706924714914,8223000
2010-03-15,41.570281982421875,41.570281982421875,41.248381082786636,41.29344701226285,7444700
2010-03-16,41.54450988769531,41.666833744118826,41.351372385349144,41.653954963539704,8882000
2010-03-17,41.62177276611328,41.67971255013582,41.512327677304356,41.666838679847324,8060700
2010-03-18,41.88573455810547,41.943679261830475,41.44151475135917,41.57671251096169,11742100
